Protein IDs	Peptide counts (razor+unique)	Unique peptides	Peptides Walker TMT16	Unique peptides Walker TMT16	Q-value	Score	Identification type Walker TMT16	Reporter intensity corrected 1 Walker TMT16	Reporter intensity corrected 2 Walker TMT16	Reporter intensity corrected 3 Walker TMT16	Reporter intensity corrected 4 Walker TMT16	Reporter intensity corrected 5 Walker TMT16	Reporter intensity corrected 6 Walker TMT16	Reporter intensity corrected 7 Walker TMT16	Reporter intensity corrected 8 Walker TMT16	Reporter intensity corrected 9 Walker TMT16	Reporter intensity corrected 10 Walker TMT16	Reporter intensity corrected 11 Walker TMT16	Reporter intensity corrected 12 Walker TMT16	Reporter intensity corrected 13 Walker TMT16	Reporter intensity corrected 14 Walker TMT16	Reporter intensity corrected 15 Walker TMT16	Reporter intensity corrected 16 Walker TMT16	Only identified by site	Reverse	Potential contaminant	Peptide IDs
AT2G02790.1	2	2	2	2	0	13.625	By MS/MS	3744.7	3673.2	5061.4	3708.4	3833.8	2471.6	2481.6	2849.8	3753.5	4092.6	2933.5	3574.2	3876.2	5092.9	3383.3	2737.1				5255;12265
AT2G03070.1	1	1	1	1	0.0015175	6.7274	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				13505
AT2G03140.1;AT2G03140.2	5;5	5	5	5	0	53.698	By MS/MS	43920	43867	41373	39837	38651	38634	38558	35444	49280	47926	36256	42502	39644	46470	42102	40437				9224;12907;13982;17226;18703
AT2G03270.1	2	2	2	2	0	11.953	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				7360;13876
AT2G03390.1;AT2G03390.2	3;2	3	3	3	0	58.004	By MS/MS	175020	170570	187960	185770	161090	169570	160780	158940	166440	165540	148100	154980	147330	168280	171390	146540				375;12847;20499
AT2G03420.1	2	2	2	2	0	49.812	By MS/MS	355240	325140	352820	334150	312030	258360	264810	238230	298150	346110	252460	273130	284850	358300	338160	283790				7140;7195
AT2G03440.1	4	4	4	4	0	51.734	By MS/MS	156420	151780	172370	165890	126660	133500	128890	128750	140460	142380	138100	145140	130270	155540	133910	127200				10206;13277;16549;19135
AT2G03510.1	4	4	4	4	0	25.051	By MS/MS	235080	222150	228400	201560	178480	157100	161410	174310	175810	189080	155720	169290	160770	195330	187170	175500				3008;4025;12887;14055
AT2G03550.1	3	3	3	3	0	22.658	By MS/MS	76204	65952	91404	81256	71212	73259	73144	66274	68142	64892	66461	74967	70517	73456	74847	69548				10717;13326;18584
AT2G03640.1;AT2G03640.4	1;1	1	1	1	0	26.455	By MS/MS	18435	17492	21197	20217	17966	17105	18042	15244	18556	18765	16020	19795	17022	23614	20207	18122				5998
AT2G03680.2;AT2G03680.1	4;4	4	4	4	0	31.244	By MS/MS	226610	203180	285700	228340	183720	168980	186810	164200	200540	201270	189030	215750	172260	215750	206000	183530				544;14723;15028;18638
AT2G03750.1	3	3	3	3	0	18.641	By MS/MS	86737	89922	109670	102490	79360	70360	77654	71473	82324	81512	77072	81562	69935	94919	78198	74477				3688;9495;21356
AT2G03760.1	2	2	2	2	0	13.303	By MS/MS	41536	38611	40964	39471	30669	29305	32771	30585	35405	37345	33011	36066	52227	78445	45192	41671				1268;11212
AT2G03820.1	3	3	3	3	0	18.785	By MS/MS	87098	83649	106180	96373	88794	85257	90448	85712	95785	94500	82787	94514	82169	100930	93966	95421				3228;6772;9973
AT2G03870.2;AT2G03870.1	2;2	2	2	2	0	15.506	By MS/MS	268460	251440	275230	266110	231260	212300	222120	218010	232330	236450	210930	231310	228170	289220	277080	236000				5914;8539
AT2G04030.1;AT2G04030.2	37;36	33	37	33	0	323.31	By MS/MS	4320400	3946800	4831700	4455100	4118000	3639700	3895200	3430900	4161300	4497100	3424400	4360300	3901100	5103700	4710800	4029000				618;1089;1658;4284;4339;4500;4533;4534;4938;5325;5326;5898;6007;6434;6722;7053;7132;7514;8779;9653;10375;12783;14001;14705;14898;15954;16447;16630;18075;18221;18222;19434;19435;19580;20786;21106;21107
AT2G04039.2;AT2G04039.1;AT2G04039.3	5;5;4	5	5	5	0	50.204	By MS/MS	207600	229960	217190	244220	224090	211410	221710	191480	209800	260190	185720	195920	205690	221080	206210	203040				30;4458;10796;14193;15606
AT2G04160.1	2	2	2	2	0	14.213	By MS/MS	16707	13678	16570	15533	14822	12619	13746	12692	13057	15137	12311	15255	14910	14838	13346	13972				2788;10074
AT2G04280.1	1	1	1	1	0	16.744	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				19278
AT2G04350.2;AT2G04350.1	3;3	3	4	3	0	22.886	By MS/MS	63930	56429	66629	58476	47841	47527	51564	53207	51123	54560	54498	62353	48603	51061	47421	50678				13373;17874;19679;21095
AT3G10610.1;AT2G05220.2;AT2G05220.1;AT5G04800.4;AT5G04800.3;AT5G04800.2;AT5G04800.1;AT2G04390.1	5;5;5;5;5;5;5;5	5	5	5	0	35.216	By MS/MS	469410	437290	494070	474460	353490	265190	298820	279090	389700	404150	295440	413060	285450	412750	355960	283610				9038;10668;10669;13282;15666
AT2G04400.1	7	7	7	7	0	51.219	By MS/MS	323820	303580	247910	252900	236880	234680	243210	270450	311970	335490	240810	306700	218210	237760	246440	259450				2167;2252;2908;5404;5699;7770;18156
AT2G04410.1	1	1	1	1	0.0007148	7.8611	By MS/MS	94820	85195	98219	96773	94506	93698	94810	94574	87205	90667	85498	87423	93380	99068	98142	86460				6500
AT2G04450.1	1	1	1	1	0	13.721	By MS/MS	40563	92694	20929	15959	15253	18758	14001	52836	18108	30496	23649	14922	16095	17768	24241	26333				13296
AT2G04520.1;AT5G35680.3	4;3	1	4	1	0	79.613	By MS/MS	248280	218920	270030	246320	218470	195120	212110	185890	222300	224070	197440	232350	211340	308250	249650	217990				2376;3969;4316;12316
AT2G04530.1	2	2	2	2	0	13.425	By MS/MS	64206	58142	72903	62538	52258	41419	47232	41328	66541	60517	47504	68773	48355	73086	57061	55110				958;959
AT2G04550.3;AT2G04550.1	1;1	1	1	1	0.0023104	6.3482	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				17067
AT2G04700.1	5	5	5	5	0	38.741	By MS/MS	389320	366870	398010	406850	331180	346300	318670	313060	355940	365090	338840	354150	299270	355320	330930	320860				3521;3522;3671;6910;16543
AT2G04780.2;AT2G04780.1	2;2	2	2	2	0	13.479	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				9206;20620
AT2G04842.1	5	5	5	5	0	46.83	By MS/MS	210130	199600	239060	242300	191980	198880	196520	185600	204510	207400	190000	214160	180720	216710	204050	183940				601;6019;6509;8692;9885
AT2G05070.1;AT2G05100.1;AT3G27690.1	5;4;4	5	8	5	0	164.44	By MS/MS	2732300	2498100	2502800	2624500	3175900	3082600	2999500	3511200	2621600	2595900	2602500	1936100	3367500	2924800	3187600	2680500				5159;6495;8298;9444;14484;17498;17499;21061
AT2G05120.1;AT2G05120.2	3;2	3	3	3	0	20.76	By MS/MS	10212	10517	12106	9361.5	9758.6	7625.4	8730	9488.5	11233	10651	7527.6	9324.5	9164.9	11903	10422	9320.7				4611;5447;18178
AT2G05170.1	3	3	3	3	0	20.612	By MS/MS	83085	81118	87669	83353	121270	75768	79132	78702	103250	84550	67495	72161	69449	89224	80912	75420				2954;4257;9851
AT2G05250.1;AT2G05230.1	1;1	1	1	1	0.0015358	6.8617	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				11174
AT2G05310.1	2	2	2	2	0	40.883	By MS/MS	72504	75300	71081	67867	57426	61807	55031	60707	70736	70701	63057	62106	59724	68841	54907	56449				2770;6603
AT2G05540.1	1	1	1	1	0.0047093	6.0597	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				8878
AT2G05620.1	1	1	1	1	0.00070788	7.6838	By MS/MS	20535	26468	24373	25251	20673	21179	16855	21682	20813	21040	23401	22837	16864	19342	18940	14931				8001
AT2G05630.1;AT2G05630.2	1;1	1	1	1	0.0047044	6.0467	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				16158
AT2G05710.1	12	12	21	12	0	191.95	By MS/MS	1083000	1010000	1065700	1004900	885530	893360	889020	889970	962080	962450	893610	917620	867340	972170	930650	935510				1529;2109;2884;3166;3387;7160;7814;7815;8555;9688;9817;12807;15340;16269;16401;16438;17030;17297;18740;20085;20896
AT2G05830.1;AT2G05830.3;AT2G05830.2;AT2G05830.4	6;5;5;5	6	6	6	0	66.255	By MS/MS	219230	206290	230700	221410	193230	185430	194370	186600	207000	216600	190520	211050	196450	216030	196780	190090				2368;2380;5003;9843;10749;19341
AT2G05840.1;AT2G05840.2	2;2	2	6	2	0	14.911	By MS/MS	188910	185880	213540	188430	165740	164250	170180	177790	190870	180800	159270	174440	158170	188770	174770	170530				103;1980;5535;6877;7925;11618
AT2G05920.1	5	5	5	5	0	35.232	By MS/MS	101690	95047	116480	103710	79354	72167	84258	71612	94760	89551	80967	88591	72732	101420	82757	83553				6901;7404;16133;16338;17139
AT2G05990.2;AT2G05990.1	9;9	9	9	9	0	199	By MS/MS	1112700	986660	1213300	1177900	965390	871110	970090	844420	954110	994160	869790	982350	914200	1137000	1042200	906110				127;701;1638;9573;11002;19972;20118;20300;21002
AT2G06050.3;AT2G06050.2;AT2G06050.1	6;6;6	6	6	6	0	57.59	By MS/MS	100110	88038	96403	92757	102080	80317	115010	129600	90782	98722	76934	88713	85641	92252	95576	114160				1183;5178;11578;15384;17904;20084
AT2G06210.1	1	1	1	1	0.00074038	8.543	By MS/MS	8791.6	9816.3	9664.6	9387	9078.9	10192	9060	8307.7	9845.5	9121.3	8494.5	9245.1	8115.2	8514.5	8988	8951.9				1932
AT2G06530.1	2	2	2	2	0	19.932	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				15141;20919
AT2G06850.1;AT5G13870.1	7;1	7	7	7	0	52.379	By MS/MS	453040	454200	540000	506600	361990	381150	414910	391120	404380	398620	386720	391590	358140	479000	393060	373670				952;3208;6807;10429;14711;18181;18553
AT2G06990.1	4	3	3	3	0	34.652	By MS/MS	47470	39417	55227	41475	26684	29511	33969	26954	45949	40500	37843	41222	28767	42904	29815	40345				10;12627;15970;16068
AT2G07050.1;REV__AT5G40740.1;AT3G45130.1	8;1;1	8	8	8	0	81.858	By MS/MS	523160	471670	619540	568250	458630	440750	489490	426620	504950	511220	421410	511930	474850	599700	524040	469600				129;5423;9252;9253;12105;14142;17786;21144
AT2G07340.2;AT2G07340.1	2;2	2	2	2	0	13.252	By MS/MS	21033	18811	24991	19671	14232	16782	16912	14621	18934	15153	16486	19708	12070	19492	13265	19639				15329;18946
AT2G07360.1;AT2G07360.2	4;4	4	4	4	0	32.225	By MS/MS	199090	200690	237700	212950	171780	166050	181890	181200	190360	193780	174440	191870	174520	210470	196320	177200				1160;5674;19981;21567
AT2G07698.1;ATMG01190.1	18;17	18	19	18	0	231.93	By MS/MS	1312200	1269700	1278900	1264200	1196600	1162800	1122600	1182200	1140700	1199500	1033000	1105400	1131900	1291300	1306300	1140500				84;2162;4070;5219;5924;7695;8172;10909;11493;14076;15144;15186;15794;17595;18183;18819;19736;20771;20937
ATMG00480.1;AT2G07707.1	2;2	2	2	2	0	12.517	By MS/MS	156820	144990	150130	151500	150790	141150	145120	138140	128170	144000	110470	134850	142260	164660	158790	138260				14163;16680
ATMG00220.1;AT2G07727.1	2;2	2	2	2	0	16.861	By MS/MS	73565	72826	106720	83636	50376	55099	56111	50509	65574	66399	72095	81966	57367	83917	70895	74342				3814;7873
ATMG00290.1;AT2G07734.1	1;1	1	1	1	1	-2	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			17340
AT2G07785.1;ATMG01275.1;ATMG01120.1;ATMG00516.1	2;2;2;2	2	2	2	0	15.621	By MS/MS	21384	18324	22765	23055	25247	22484	22168	22763	20272	19421	19901	21305	23027	24734	25508	23066				5493;11901
AT2G10940.2;AT2G10940.1	5;5	5	5	5	0	46.593	By MS/MS	1040000	1153900	1227000	1271900	939270	937260	917640	880600	938790	950860	842850	902600	831870	1101800	1001800	847710				1955;8150;9463;11649;14428
AT2G11890.1	1	1	1	1	0.00076336	9.5144	By MS/MS	7078.9	7139.5	7416.1	7673	6754.6	5591.2	5377.8	6601.2	7385.4	7608.4	6326.4	5788.8	6385.4	8161.7	8139.7	6038.3				19432
AT2G13360.2;AT2G13360.1	15;15	15	15	15	0	274.29	By MS/MS	1202700	1197800	1372200	1366100	1189900	1233100	1217100	1234300	1240600	1208300	1144200	1201600	1191200	1391900	1317300	1151300				122;939;1355;8914;9447;11274;13274;13342;17063;18384;18387;18388;18862;19565;21625
AT2G13540.1	5	5	5	5	0	31.058	By MS/MS	94622	93097	100910	99566	86656	80381	85797	77810	85992	84425	78375	86153	86236	102360	97491	88947				1317;5060;13375;17980;19474
AT2G13560.1	9	9	9	9	0	73.844	By MS/MS	227060	225640	251840	230360	207740	205980	199850	200270	208370	215490	189610	215330	191750	221300	207100	200680				2997;4100;4101;5410;6058;8521;9000;10329;15566
AT2G14120.1;AT2G14120.2;AT2G14120.3	3;3;2	3	8	3	0	19.672	By MS/MS	90680	87122	104470	95713	84730	76621	83967	83127	84593	94347	83214	89850	82832	89821	87006	83346				1295;11800;15935;16761;17412;17789;18329;20431
AT2G14170.2;AT2G14170.1;AT2G14170.3	2;2;1	2	2	2	0	12.069	By MS/MS	95212	82927	95009	100550	82982	82347	78295	76693	84782	84401	84138	84094	78867	93193	80483	77053				900;20394
AT2G14610.1	2	2	2	2	0.00052452	10.993	By MS/MS	100500	263100	59379	61786	50187	48613	52907	100670	53281	76390	55239	50176	45147	63186	57392	78901				7256;17700
AT2G14720.2;AT2G14720.1;AT2G14740.2;AT2G14740.1	9;9;8;8	9	9	9	0	139.6	By MS/MS	554930	501800	549090	507740	435630	405330	448800	467020	466100	494790	433740	459130	468820	501940	498720	451820				771;2468;2644;3918;7325;14514;17197;21278;21279
AT2G14750.1	4	4	4	4	0	51.322	By MS/MS	321070	284760	296460	303740	301230	302930	295750	282940	308860	309740	292170	292220	278470	292200	304590	308450				4710;7609;16840;20854
AT2G14880.1	4	2	4	2	0	262.44	By MS/MS	244320	228740	306010	270700	224440	192900	185260	159440	227170	228260	170460	238310	215140	289950	265070	212080				2315;11876;14781;19676
AT2G15020.1	1	1	1	1	0.00074276	8.6041	By MS/MS	3742.9	4163	4337.4	5247.7	2695.2	3556.5	3018.1	2655.8	3805.4	2914.2	3014.5	2965.1	3364.1	3973.3	3509.3	3447.2				9316
AT2G15240.1	1	1	1	1	1	-2	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			13658
AT2G15290.1	1	1	1	1	0.0007766	10.331	By MS/MS	59524	59353	68318	64409	63798	57805	57749	56115	63436	63905	49838	56488	57622	69987	67242	57599				17650
AT2G15420.1	1	1	1	1	0.0017167	6.5985	By MS/MS	9557.4	7148	10875	8522.7	7394.8	6460	8830.2	9849.7	9913.1	8182	7396.9	8621.8	7256.3	8873.1	6111.5	8501.9				8949
AT2G15430.1;AT2G15400.2;AT2G15400.1	4;1;1	4	4	4	0	32.445	By MS/MS	115630	102870	132610	116760	103710	95553	95759	94971	105350	111990	97467	110630	93824	126270	113780	100370				1886;5796;13283;15385
AT2G15570.1;AT2G15570.2	1;1	1	1	1	0.00091178	7.2583	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2284
AT2G15620.1	25	25	25	25	0	259.98	By MS/MS	3137200	2873300	3380000	3460000	3129300	3266700	3050700	2771400	3083100	3143300	3094800	3114200	2882400	3159200	2876200	2698600				2234;2436;2951;3947;6940;7422;7970;8784;10901;11015;11081;11600;12013;12448;12501;12916;13085;13692;15448;15472;16966;17936;20673;21427;21526
AT2G15690.1	1	1	1	1	0.00092678	7.4653	By MS/MS	4971.4	3655.1	4257.3	3692.3	5152.6	3684	5493.8	4614.1	5220.7	5391.4	3774	5718.8	3874.6	6125.5	5741	4442.7				17344
AT2G15860.1;AT2G15860.2	4;3	4	4	4	0	29.842	By MS/MS	73906	71893	74125	65494	59972	55851	55879	57924	60932	68647	52877	58689	60292	72282	66399	60549				3529;4088;4521;11463
AT2G15900.1	1	1	1	1	0	11.905	By MS/MS	32306	32075	33834	34763	29239	28930	32539	36904	39202	38687	29630	25469	29843	35110	27493	26872				12308
AT2G16070.2	1	1	1	1	0.00077922	10.57	By MS/MS	10087	9047.2	13371	10651	8878.2	9994.4	8735.2	9112.3	10097	9109.2	8054.2	9625.7	9102.1	11676	10357	9953				13363
AT2G16440.1	2	2	2	2	0	33.455	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3452;12649
AT2G16460.2;AT2G16460.1	1;1	1	1	1	0.0011166	7.0108	By MS/MS	20255	21679	25275	22675	18604	18871	20352	20329	18011	17680	18845	22384	18378	22698	20256	19842				709
AT2G16485.1	2	2	2	2	0	33.329	By MS/MS	12488	14709	16171	15154	15317	11210	13591	14616	19234	20632	10438	15483	15528	20236	17910	12694				4648;16943
AT2G16600.2;AT2G16600.1	8;8	5	8	5	0	184.38	By MS/MS	1686800	1605500	1728900	1596800	1449600	1341800	1362600	1440600	1468500	1530000	1307100	1503100	1366300	1658500	1670000	1433900				1156;6613;6614;8988;10291;18739;18788;21015
AT2G16640.1	2	2	2	2	0	22.511	By MS/MS	86836	78352	95682	79197	71962	58562	70849	58659	78875	81431	57230	78369	71795	96246	86635	77883				15288;15787
AT2G16660.1	2	1	2	1	0	57.907	By MS/MS	38179	35772	36030	33776	52010	48266	57807	46138	25916	28622	26415	26844	31837	39742	40692	34883				696;16866
AT2G16780.1	2	1	1	1	0.00076668	9.736	By MS/MS	11926	12561	14014	13438	9405.1	8371.6	8790	8960.1	10811	11523	9262.6	11525	11742	15810	12791	11605				315;17211
AT2G16860.1	2	2	2	2	0	11.278	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				51;3065
AT2G16920.1	1	1	1	1	0.0019096	6.4477	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3226
AT2G16940.1;AT2G16940.3;AT2G16940.2	1;1;1	1	1	1	0.0007301	8.2211	By MS/MS	20270	20712	24704	21020	12661	15432	17235	13404	11395	16177	15388	22233	16065	15681	16726	11522				13275
AT2G16950.2;AT2G16950.1	7;7	7	7	7	0	66.565	By MS/MS	161600	149130	161650	150670	134430	128410	141590	137300	142620	144320	129760	140700	146370	153850	137240	127700				207;2695;2696;4503;7263;10346;19598
AT2G17120.1	4	4	4	4	0	26.146	By MS/MS	125040	137000	117100	112910	89764	94989	93413	109950	102540	106120	104520	95683	88207	110560	100230	99620				3083;7135;14174;20285
AT2G17130.2;AT2G17130.1	2;2	2	4	2	0	17.145	By MS/MS	19096	21999	17015	15661	16841	15056	15541	19312	18987	16559	12440	13176	16564	18668	18995	18322				5455;16871;17952;21229
AT2G17200.1;AT2G17190.1	7;2	7	7	7	0	111.89	By MS/MS	241100	221490	236280	225780	194100	177840	196840	193390	215370	219990	187940	207790	185480	223700	209950	201320				5308;5369;7646;8435;12115;16973;18742
AT2G17250.1	1	1	1	1	0.0019032	6.4163	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				18938
AT2G17265.1	6	6	6	6	0	106.4	By MS/MS	304740	279060	293050	311940	313600	312650	310450	303780	289870	291360	244000	275250	283630	315150	314430	290620				799;8092;10732;11761;12797;14687
AT2G17280.2;AT2G17280.1	1;1	1	1	1	0.0017197	6.6179	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				20347
AT2G17290.1;AT4G35310.1;AT4G38230.3;AT4G38230.2	2;2;1;1	2	2	2	0	20.959	By MS/MS	6049.8	8318.8	8936.2	7720.1	5521.4	6546.6	8028.6	10027	3762.7	7667.5	7063.9	5133.5	5264.7	6254.3	6180.5	6318				4384;19783
AT2G17340.1;AT2G17320.1	9;1	8	9	8	0	146.06	By MS/MS	416760	375290	423330	428410	400430	398030	384460	391860	382940	392060	358870	359280	373380	401820	430330	366320				617;1053;1054;3450;7806;12128;13477;15419;15632
AT2G17350.1	1	1	1	1	0.0011158	7.0042	By MS/MS	48835	45947	45689	43117	45825	36733	46521	39318	47634	49402	34773	37564	39320	53515	46214	45289				14813
AT5G07090.2;AT2G17360.1;AT5G07090.1;AT5G58420.1;AT2G17360.2	13;13;13;11;9	13	13	13	0	92.509	By MS/MS	1916300	2239100	2447800	2251000	1617100	1268800	1596000	1389900	1658300	1820500	1298100	1765600	1528600	2196800	1940400	1530600				4254;6054;6385;7879;8578;11376;11377;11694;11747;12865;17228;19060;21638
AT2G17390.1	8	8	10	8	0	93.423	By MS/MS	299510	288220	309600	306700	281870	261830	280320	266590	282590	314730	241730	265210	272870	302480	302080	261660				121;3471;4355;5072;11740;12346;14411;14567;18599;18600
AT2G17420.1	4	1	4	1	0	33.332	By MS/MS	333350	338400	339650	342620	287750	280030	299780	295700	307140	301150	268010	296530	268840	340010	319430	294770				7884;14670;18944;20579
AT2G17630.1	2	2	6	2	0	31.932	By MS/MS	60496	59606	70150	63484	55514	51878	52554	49597	59442	57692	47306	61090	52005	68286	56804	50345				1842;6547;7930;16254;16855;19865
AT2G17695.3;AT2G17695.2;AT2G17695.1	1;1;1	1	1	1	0.00076453	9.5745	By MS/MS	14851	17531	18384	18625	17141	18374	17261	20543	16660	19658	14443	14059	18724	18674	18698	17336				6073
AT2G17790.1	2	2	2	2	0	15.112	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				7001;13572
AT2G17840.1	4	4	4	4	0	36.318	By MS/MS	50498	43495	43400	45286	46529	39340	47816	47086	48494	43881	45818	45794	43086	49639	41474	47528				5892;9646;13790;20576
AT2G17870.1	2	2	2	2	0	16.326	By MS/MS	32110	33177	35938	38692	28139	30123	25717	29961	31636	33905	28363	33928	28785	37979	31551	29591				974;16462
AT2G17930.1	1	1	1	1	0	18.502	By MS/MS	7314.7	7292.8	9275.5	9796.4	8315.3	8115.4	7827	7756	6963.5	9486.4	6476.1	8549.5	7503.6	7618.1	9020.2	6175.5				7773
AT2G17972.1	1	1	1	1	0.00078268	10.781	By MS/MS	50174	47402	54614	44747	53062	52477	56014	54712	46214	45400	40320	39112	48912	68547	52867	51865				7071
AT2G17980.1	2	2	2	2	0	11.683	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				4942;10577
AT2G18020.1	8	3	8	3	0	79.257	By MS/MS	385810	470040	501320	452900	349410	289220	360490	324440	366200	392320	293850	377750	324790	460770	410150	330570				1449;1818;2033;8789;12620;16636;16733;19706
AT2G18040.1	3	3	3	3	0	18.554	By MS/MS	112250	102530	126000	114330	93383	85313	94699	89453	107810	107070	86708	107920	93258	118190	112780	99231				1498;9554;15545
AT2G18110.1	3	3	8	3	0	142.05	By MS/MS	228960	206240	241060	231220	186630	175340	203550	173450	211860	226370	177640	210700	181150	238030	212260	193870				3674;3675;10060;10709;11345;13056;16646;17724
AT2G18230.1;AT3G53620.1;AT2G46860.1	6;2;2	4	6	4	0	51.977	By MS/MS	306390	273710	302650	285550	269770	262940	275810	265510	274340	300440	272620	283610	252190	281570	269190	257170				558;983;6450;14045;14426;18208
AT2G18510.1	1	1	1	1	0.0013219	6.9076	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				16196
AT2G18660.1	1	1	1	1	0.0023066	6.3392	By MS/MS	22962	65078	17137	11144	13329	13165	11228	30098	16378	20512	13976	14531	14426	17342	24946	16530				5470
AT2G18710.1	6	6	6	6	0	113.38	By MS/MS	198030	188300	199180	195900	198330	191870	190500	187450	189770	195110	154470	174920	197870	223740	219510	180550				4074;8624;10672;10984;14964;20296
AT2G18740.1	1	1	1	1	0.002111	6.3978	By MS/MS	170630	161340	195990	180060	145090	148750	141840	132090	149500	150900	135930	163810	140590	178890	158920	150640				7353
AT2G18770.1	3	2	3	2	0	34.294	By MS/MS	24826	25704	27331	24237	21834	18271	21322	22221	20026	20125	21386	23421	19255	25205	22595	21787				193;13299;18948
AT4G30260.1;AT2G18840.1	1;1	1	1	1	0.0015341	6.8562	By MS/MS	127580	132210	134800	133580	112520	108120	119140	121560	120770	120740	107560	108940	111340	134320	120290	118100				13108
AT2G18940.1	1	1	1	1	0.0031043	6.1753	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				18394
AT2G18960.1;AT1G80660.2;AT1G80660.1;AT2G24520.1	35;7;7;4	12	34	12	0	323.31	By MS/MS	3832600	3617900	4161600	3981600	3408800	3335800	3487900	3361300	3542200	3534400	3271200	3535400	3344200	3965000	3577800	3404000				337;351;1309;2352;3620;3948;4171;4385;4747;5275;6038;7230;8661;9869;10274;10275;10411;11736;12072;12073;12612;12761;13606;13762;13784;14313;15431;15676;16498;16499;17803;19371;19489;19943;21157
AT3G25580.1;AT2G18990.1	3;3	3	3	3	0	62.449	By MS/MS	94744	89534	110360	101840	79396	79906	90175	81397	92137	93370	81812	88621	80894	98087	87135	86786				10339;11342;19318
AT2G19080.1	1	1	1	1	0	11.549	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				13410
AT2G19160.1;AT4G30060.1	1;1	1	1	1	0.0011256	7.1122	By MS/MS	32626	33747	36171	32139	29400	24369	33135	28513	31966	31055	26337	29885	28018	36732	31772	27766				6212
AT2G19430.1	1	1	1	1	0	16.073	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				7147
AT2G19480.3;AT2G19480.2;AT2G19480.1	13;13;13	11	13	11	0	205.94	By MS/MS	1643500	1516600	1792300	1635500	1429700	1348400	1477600	1359700	1568800	1624500	1387400	1572000	1446800	1748600	1469700	1416500				855;4971;8729;10884;11461;13186;14355;14356;17005;17006;17176;19051;21369
AT2G19520.1	4	4	4	4	0	86.43	By MS/MS	220890	218090	221180	202990	197610	165280	191040	168810	218310	232800	148270	167060	193340	266720	228230	188770				4372;13474;13758;15292
AT2G19540.1	1	1	1	1	0.00077499	10.242	By MS/MS	17299	14638	14940	16440	16186	11280	14139	13394	16328	18560	14961	15484	12500	17706	16590	14577				449
AT2G19730.3;AT2G19730.2;AT2G19730.1	6;6;6	5	6	5	0	152	By MS/MS	1096000	1145600	1406900	1247100	981090	790310	814080	819660	1046500	1084500	767970	1244300	748420	1383800	1096100	848130				2104;2128;2129;10942;14365;18998
AT5G56710.2;AT5G56710.1;AT4G26230.1;AT2G19740.1	1;1;1;1	1	1	1	0.00075491	9.1573	By MS/MS	62284	59185	82227	63895	48530	48155	51911	56732	56902	53455	53493	66199	46918	66440	55700	46958				6216
AT5G56670.1;AT4G29390.1;AT2G19750.1	1;1;1	1	1	1	0.00093349	7.5663	By MS/MS	93849	184020	269110	217740	97029	61832	80380	76204	136500	179410	98372	126140	67905	141880	93092	67083				7112
AT2G19760.1	7	6	7	6	0	68.028	By MS/MS	1044900	952690	1123100	1076800	937900	917310	972250	900120	972210	967410	876260	964850	923620	1136100	1027600	957110				2850;6827;6828;8291;10479;11677;21608
AT2G19770.1;AT5G56600.2;AT5G56600.1	1;1;1	1	1	1	1	-2	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			21607
AT2G19830.1	1	1	3	1	0	16.613	By MS/MS	16715	17045	21702	16421	15895	18972	17808	16397	19973	16456	14345	15896	16071	21301	15927	13640				2036;2079;15189
AT2G19860.1;AT2G19860.2;AT1G47840.1	3;2;0	3	7	3	0	21.1	By MS/MS	117640	105800	112200	119340	111560	98415	101610	99245	104250	102520	96020	109650	109870	123730	113060	107100				684;5171;7600;9584;11984;12630;21108
