Row,210 mbar,20 mbar,400 mbar
starch_synthesis_flux,0.464004789843708,0.464004789833813,0.450027118922562
starch_synthesis_abundances,4.64105946395301e-08,4.30918421394083e-08,3.03554497873479e-08
sucrose_synthesis_flux,0.0138435735883769,0.0138435735883769,0.0138435735883769
sucrose_synthesis_abundances,1.09296393793607e-10,1.09296393793607e-10,1.09296393793607e-10
photorespiration_flux,5.1245788755782,0.73389073989365,10.2241990395779
photorespiration_abundances,6.55852820234323e-05,5.19406976247402e-05,8.33722943555555e-05
PGP_GOX_CAT_abundances,2.2390990263105e-07,1.98577273861534e-08,4.68246095332599e-07
PR_remain_abundances,6.54604149471857e-05,5.19285622417611e-05,8.30039598238573e-05
AOX_abundances,0,0,7.38264702145708e-09
light_reactions_flux,34.2702877564174,27.2486820895231,42.1099845305696
light_reactions_abundances,1.30453567823063e-05,1.04948101835728e-05,1.57672208718017e-05
core_hypoxia_abundances,0,0,0
core_hypoxia_flux,0,0,0
electron_transport_mean_exp,50.847,49.0875,42.9165
electron_transport_median_pred,18.7399371826687,13.4491262053264,23.631072209354
